name,typ,quelle_url,webseite,bundesland
Birx,Gemeinde,https://de.wikipedia.org/wiki/Birx,https://vghoherhoen.de/verwaltung/birx/,Thüringen
Bischofrod,Gemeinde,https://de.wikipedia.org/wiki/Bischofrod,https://www.verwaltungsgemeinschaft-feldstein.de/verzeichnis/objekt.php?mandat=99453,Thüringen
Bischofroda,Gemeinde,https://de.wikipedia.org/wiki/Bischofroda,https://www.vg-hainich-werratal.de/verzeichnis/visitenkarte.php?mandat=75512,Thüringen
Blankenburg,Gemeinde,https://de.wikipedia.org/wiki/Blankenburg_(Thüringen),http://www.blankenburg-thueringen.de/,Thüringen
Blankenhain,Stadt,https://de.wikipedia.org/wiki/Blankenhain,https://www.blankenhain.de/,Thüringen
Bleicherode,Landgemeinde (Stadt),https://de.wikipedia.org/wiki/Bleicherode,https://www.bleicherode.de/,Thüringen
Bobeck,Gemeinde,https://de.wikipedia.org/wiki/Bobeck,https://www.bad-klosterlausnitz.de/erfuellende-gemeinde-fuer/bobeck/,Thüringen
Bocka,Gemeinde,https://de.wikipedia.org/wiki/Bocka,https://www.rathaus-muenchenbernsdorf.de/seite/409146/%C3%BCber-uns.html,Thüringen
Bodelwitz,Gemeinde,https://de.wikipedia.org/wiki/Bodelwitz,https://www.vg-oppurg.de/de/gem-bodelwitz.html,Thüringen
Bodenrode-Westhausen,Gemeinde,https://de.wikipedia.org/wiki/Bodenrode-Westhausen,https://bodenrode-westhausen.com/,Thüringen
Bornhagen,Gemeinde,https://de.wikipedia.org/wiki/Bornhagen,https://www.vg-hanstein-rusteberg.de/mitgliedsgemeinden/bornhagen,Thüringen
Borxleben,Gemeinde,https://de.wikipedia.org/wiki/Borxleben,,Thüringen
Brahmenau,Gemeinde,https://de.wikipedia.org/wiki/Brahmenau,https://www.vg-brahmetal.de/verzeichnis/objekt.php?mandat=217938,Thüringen
Braunichswalde,Gemeinde,https://de.wikipedia.org/wiki/Braunichswalde,http://www.braunichswalde.de/,Thüringen
Brehme,Gemeinde,https://de.wikipedia.org/wiki/Brehme,https://www.lindenberg-eichsfeld.de/gemeinden/brehme/index_ger.html,Thüringen
Breitenworbis,Gemeinde,https://de.wikipedia.org/wiki/Breitenworbis,https://www.eichsfeld-wipperaue.de/mitgliedsgemeinden/breitenworbis/,Thüringen
Breitungen/Werra,Gemeinde,https://de.wikipedia.org/wiki/Breitungen/Werra,https://www.breitungen.de/,Thüringen
Bremsnitz,Gemeinde,https://de.wikipedia.org/wiki/Bremsnitz,https://gemeinden.huegelland-taeler.de/?page_id=10,Thüringen
